id,name,area,type,budget_category,fee_display,fee_min,fee_max,fee_status,website,map_query
alam-atelier,Alam Atelier,Canggu,Preschool,Mid-range,"Rp 45,000,000–Rp 110,000,000 /year",45000000,110000000,estimate,https://almatelier.com/bali,"Alam Atelier Bali, Canggu"
alam-kidz-school,Alam Kidz School,Ubud,School,Mid-range,"Rp 85,000,000–Rp 135,000,000 /year",85000000,135000000,estimate,https://alamkidz.com/,"AlamKidz School, Ubud, Bali"
amed-honeycomb-school,Amed Honeycomb School,Amed,School,Mid-range,"Rp 50,000,000–Rp 100,000,000 /year",50000000,100000000,estimate,https://ahsbali.sch.id/,"Amed Honeycomb School, Amed, Bali"
anak-bentala,Anak Bentala,Canggu,Early years,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.instagram.com/anakbentala/,"Anak Bentala, Canggu, Bali"
bali-earth-school,Bali Earth School,Ubud,School,Premium,"Rp 80,000,000–Rp 150,000,000 /year",80000000,150000000,estimate,https://baliearthschool.id/,"Bali Earth School, Bali"
bali-life-daycare-and-kindy,Bali Life Daycare and Kindy,Bukit Region,Preschool,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://balilifekindy.com/,"Bali Life Daycare and Kindy, Bali"
bamboo-garden-learning,Bamboo Garden Learning,Canggu,Early years,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.facebook.com/bamboogardenlearningcentre/,"Bamboo Garden Learning Centre, Canggu, Bali"
bhumi-bali-school,Bhumi Bali School,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://bhumibalischool.com/,"Bhumi Bali School, Kerobokan, Bali"
biosphere-school,Biosphere School,Bukit Region,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://biosphereschool.com/,"Biosphere School Bali, Jl. Bypass Ngurah Rai No.108 A, Benoa"
bloom-boutique-atelier,Bloom Boutique Atelier,Canggu,Preschool,Mid-range,"Rp 45,000,000–Rp 110,000,000 /year",45000000,110000000,estimate,https://bloomlearningcenter.id/,"Bloom Learning Center, Cemagi, Bali"
boundless-life-bali-education-centre,Boundless Life Bali Education Centre,Sanur,School,Luxury,"Rp 223,200,000 /year",223200000,223200000,estimate,https://bali.boundless.life/,Boundless Life Bali campus Sanur
bukit-sunrise-school,Bukit Sunrise School,Bukit Region,School,Premium,"Rp 80,000,000–Rp 160,000,000 /year",80000000,160000000,estimate,https://www.bukitsunriseschool.com/,"Bukit Sunrise School, Ungasan"
caterpillar-school-bali,Caterpillar School Bali,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://caterpillarschoolbali.com/,Caterpillar School Bali
cheeky-monkeys-sanur,Cheeky Monkeys Sanur,Sanur,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://cheekymonkeysbali.com/,"Cheeky Monkeys Sanur, Bali"
empathy-school,Empathy School,Ubud,School,Premium,"Rp 100,000,000–Rp 160,000,000 /year",100000000,160000000,estimate,https://www.empathy.school/,Empathy School Ubud
erdkinder-sekolah-montessori-bali,Erdkinder Sekolah Montessori Bali,Ubud,Montessori school,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.montessori-erdkinder-bali.com/,"Sekolah Montessori ERDKINDER Bali, Pejeng, Gianyar"
gandhi-memorial,Gandhi Memorial,Denpasar,International school,Premium,"Rp 120,000,000–Rp 200,000,000 /year",120000000,200000000,estimate,https://gandhibali.org/,"Gandhi Memorial Intercontinental School Bali, Renon"
harmony-school,Harmony School,Ubud,School,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.harmonyschoolbali.org/,Harmony School Bali Mas Ubud
jimbaran-junior-academy,Jimbaran Junior Academy,Bukit Region,School,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://jimbaranacademy.com/,Jimbaran Junior Academy Jl. Celagi Basur
jungle-hub-ubud,Jungle Hub Ubud,Ubud,Learning centre,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://balifamilyhangout.com/jungle-hub/,The Jungle Hub Bali Family Hangout Jl. Katik Lantang Ubud
kupu-kupu-early-learning-bali,Kupu Kupu Early Learning Bali,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://linktr.ee/kupukupubali,Kupu Kupu Early Learning Beraban Tabanan Bali
little-dreamers,Little Dreamers,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.instagram.com/littledreamersbali/,Little Dreamers preschool Canggu Bali
little-stars-school,Little Stars School,Sanur,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://www.littlestarsbali.org/,Little Stars School Sanur Bali
little-tree-preschool-bali,Little Tree Preschool Bali,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://littletreepreschoolbali.com/,Little Tree Preschool Bali Canggu
lychee-homeschooling,Lychee Homeschooling,Canggu,Homeschool program,Mid-range,"Rp 60,000,000–Rp 120,000,000 /year",60000000,120000000,estimate,https://lycheelearning.com/,Lychee Learning Cepaka Bali
